成功解析 31 個模組。
--- Starting Single-Pass Warm-up & Weight Calculation ---
Total samples for warm-up: 5000
Accurate time per iteration: 0.0207342 ms
Average Area/AR cost: 520466
Average INL cost: 118832
First round. 
Calculated weights -> w_area: 1, w_inl: 4.37985
Adaptive SA params (Strategy B): max_iter=310, cooling_rate=0.999872, num_steps=89854
Temp: 8147.96, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 8146.92, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 8145.87, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 8144.83, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 8143.79, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 8142.74, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 8141.70, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 8140.66, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 8139.61, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 8138.57, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.30
Temp: 8137.53, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 8136.49, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 8135.44, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 8134.40, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 8133.36, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.35
Temp: 8132.32, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 8131.28, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 8130.23, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
